count,time,ch1,ch2,ch3,ch4,s10_matched_angle,s8_matched_angle,main_distance,slove_distance
"[104.20181062282475, 30.659683794191764, 1, '17:53:14']",22630486,26405300,20770228,22969550,41.83,40.59000015258789
"[104.20181062282475, 30.659683794191764, 2, '17:53:14']",22630486,26405300,20770228,22969550,41.83,40.59000015258789
"[104.1986447887622, 30.659401163556403, 3, '17:53:15']",21493381,27050160,19953999,23187378,43.08,40.59000015258789
"[104.1986447887622, 30.659401163556403, 4, '17:53:16']",21493381,27050160,19953999,23187378,43.08,40.59000015258789
"[104.19407718445308, 30.658993389528305, 5, '17:53:17']",32512903,26977799,21348761,24506834,35.14,40.59000015258789
"[104.19407718445308, 30.658993389528305, 6, '17:53:17']",32512903,26977799,21348761,24506834,35.14,40.59000015258789
"[104.1971492415451, 30.659267648200945, 7, '17:53:18']",24608035,29896330,20394392,23472722,45.34,40.59000015258789
"[104.1971492415451, 30.659267648200945, 8, '17:53:19']",24608035,29896330,20394392,23472722,45.34,40.59000015258789
"[104.1986447887622, 30.659401163556403, 9, '17:53:19']",20994678,25786065,19107520,22656330,43.08,40.59000015258789
"[104.1986447887622, 30.659401163556403, 10, '17:53:20']",20994678,25786065,19107520,22656330,43.08,40.59000015258789
"[104.1986447887622, 30.659401163556403, 11, '17:53:20']",20643603,25182216,18754388,21576128,43.08,40.59000015258789
"[104.1986447887622, 30.659401163556403, 12, '17:53:21']",20643603,25182216,18754388,21576128,43.08,40.59000015258789
"[104.1986447887622, 30.659401163556403, 13, '17:53:21']",22239730,25758842,19046101,22338993,43.08,40.59000015258789
"[104.1986447887622, 30.659401163556403, 14, '17:53:22']",22239730,25758842,19046101,22338993,43.08,40.59000015258789
"[-51127.98336662477, -4543.106584944489, 15, '17:53:23']",22968329,24784592,19243912,23325220,40.59,40.59000015258789
"[104.1638160167861, 30.65645069706955, 16, '17:53:23']",22968329,24784592,19243912,23325220,40.59,40.8380012512207
"[104.19901043629957, 30.659415352830948, 17, '17:53:24']",21983798,26723326,20494248,24180457,43.08,40.8380012512207
"[104.19901043629957, 30.659415352830948, 18, '17:53:25']",21983798,26723326,20494248,24180457,43.08,40.8380012512207
"[104.19901043629957, 30.659415352830948, 19, '17:53:25']",23434367,27544655,20839501,25031898,43.08,40.8380012512207
"[104.19901043629957, 30.659415352830948, 20, '17:53:26']",23434367,27544655,20839501,25031898,43.08,40.8380012512207
"[104.20342868159632, 30.659787530481704, 21, '17:53:26']",22854778,26200756,19625605,21616102,41.83,40.8380012512207
"[104.20342868159632, 30.659787530481704, 22, '17:53:27']",22854778,26200756,19625605,21616102,41.83,40.8380012512207
"[104.20342868159632, 30.659787530481704, 23, '17:53:27']",21347270,26605007,20262755,21742703,41.83,40.8380012512207
"[104.20342868159632, 30.659787530481704, 24, '17:53:28']",21347270,26605007,20262755,21742703,41.83,40.8380012512207
"[104.1972488613919, 30.65926696387408, 25, '17:53:29']",20921406,25827757,18930763,22721405,45.34,40.8380012512207
"[104.1971492415451, 30.659267648200945, 26, '17:53:29']",20921406,25827757,18930763,22721405,45.34,40.59000015258789
