count,time,ch1,ch2,ch3,ch4,s10_matched_angle,s8_matched_angle,main_distance,slove_distance
"[104.19512974820577, 30.65979745632316, 1, '18:02:36']",30621582,70020022,164280044,44566411,95.67,114.90599822998047
"[104.19512974820577, 30.65979745632316, 2, '18:02:39']",30621582,70020022,164280044,44566411,95.67,114.90599822998047
"[104.19513245300317, 30.65978889752948, 3, '18:02:41']",28498126,74352590,158241324,38246008,95.41,114.90599822998047
"[104.19490122642155, 30.660112565806244, 4, '18:02:42']",28498126,74352590,158241324,38246008,95.41,107.78600311279297
"[104.19496766626553, 30.65996300427852, 5, '18:02:43']",25502005,66251302,123831695,44295837,93.16,107.78600311279297
"[104.19496766626553, 30.65996300427852, 6, '18:02:44']",25502005,66251302,123831695,44295837,93.16,107.78600311279297
"[104.19418673176537, 30.66172095176759, 7, '18:02:45']",24900784,73430572,114163189,59070601,103.16,107.78600311279297
"[104.1955562926769, 30.65863795804011, 8, '18:02:47']",24900784,73430572,114163189,59070601,128.86,107.78600311279297
"[104.19551869814347, 30.658849511650082, 9, '18:02:48']",26019847,60568407,85684774,61518501,131.61,97.4800033569336
"[104.19551869814347, 30.658849511650082, 10, '18:02:49']",26019847,60568407,85684774,61518501,131.61,97.4800033569336
"[104.19561484847011, 30.658704563452225, 11, '18:02:50']",29723188,67774275,95408622,59486275,121.61000000000001,97.4800033569336
"[104.1945401776703, 30.660324647347522, 12, '18:02:51']",29723188,67774275,95408622,59486275,88.36,97.4800033569336
"[104.2035998231294, 30.646667082902606, 13, '18:02:53']",28120986,44096254,101465411,59553516,98.36,97.4800033569336
"[104.19555308960815, 30.65876101967656, 14, '18:02:54']",28120986,44096254,101465411,59553516,127.82,100.52999877929688
"[104.19552757049473, 30.658804050022205, 15, '18:02:55']",39241230,62945100,121199209,61541538,130.7,100.52999877929688
"[104.19552757049473, 30.658804050022205, 16, '18:02:56']",39241230,62945100,121199209,61541538,130.7,100.52999877929688
"[104.19549890757168, 30.658852381461678, 17, '18:02:57']",33563224,50341914,93268390,57259449,134.66,100.52999877929688
"[104.19549890757168, 30.658852381461678, 18, '18:02:59']",33563224,50341914,93268390,57259449,134.66,100.52999877929688
"[104.1955589531493, 30.658665752309822, 19, '18:03:00']",35339709,59560542,122245339,75066036,128.3,106.02999877929688
"[104.1955589531493, 30.658665752309822, 20, '18:03:01']",35339709,59560542,122245339,75066036,128.3,106.02999877929688
"[104.19553752399187, 30.658710559312958, 21, '18:03:02']",38517068,47855858,98471940,55426635,130.25,106.02999877929688
"[104.19553752399187, 30.658710559312958, 22, '18:03:03']",38517068,47855858,98471940,55426635,130.25,106.02999877929688
"[104.1955589531493, 30.658665752309822, 23, '18:03:05']",34377232,59988978,121197436,67661632,128.3,106.02999877929688
"[104.19554609118633, 30.658792495760725, 24, '18:03:06']",34377232,59988978,121197436,67661632,128.3,98.88999938964844
"[104.19554215723461, 30.65879873845424, 25, '18:03:07']",27450011,62018521,106136974,54961303,128.75,98.88999938964844
"[104.19554215723461, 30.65879873845424, 26, '18:03:08']",27450011,62018521,106136974,54961303,128.75,98.88999938964844
"[104.19555289742965, 30.658781695096664, 27, '18:03:09']",30759722,43406214,85742047,50744526,127.55,98.88999938964844
"[104.19555289742965, 30.658781695096664, 28, '18:03:11']",30759722,43406214,85742047,50744526,127.55,98.88999938964844
"[104.19566708277034, 30.65865162041858, 29, '18:03:12']",32035209,70095704,106719569,56494786,117.55,95.94400024414062
"[104.19417633857739, 30.660778400218952, 30, '18:03:13']",32035209,70095704,106719569,56494786,89.45,95.94400024414062
"[104.1974856141581, 30.656057200906456, 31, '18:03:14']",26437145,58213152,90860587,50964894,99.45,95.94400024414062
"[104.19552080771399, 30.658860304669467, 32, '18:03:15']",26437145,58213152,90860587,50964894,131.19,95.94400024414062
"[104.19561379929698, 30.658727637628893, 33, '18:03:17']",34315865,72557582,106295608,50434916,121.19,95.94400024414062
"[104.19501026279988, 30.659859284318742, 34, '18:03:18']",34315865,72557582,106295608,50434916,90.86,107.54399871826172
"[104.19452977315035, 30.660929763941645, 35, '18:03:19']",34993711,50829677,87643275,58138298,100.86,107.54399871826172
"[104.19549247473242, 30.658784967633196, 36, '18:03:20']",34993711,50829677,87643275,58138298,135.57,107.54399871826172
"[104.19560289954319, 30.65853895294819, 37, '18:03:21']",42204526,63654279,108116053,53285917,125.57,107.54399871826172
"[104.19500183317633, 30.65987806461972, 38, '18:03:23']",42204526,63654279,108116053,53285917,91.28,107.54399871826172
"[104.19813371388729, 30.654705326623606, 39, '18:03:24']",33762225,47161084,99718814,58544476,101.28,98.77200317382812
"[104.19554995540922, 30.658787746028608, 40, '18:03:25']",33762225,47161084,99718814,58544476,127.85,98.77200317382812
"[104.19549326837839, 30.65887731331467, 41, '18:03:26']",37967345,66708260,101423163,66640227,135.57,98.77200317382812
"[104.19549326837839, 30.65887731331467, 42, '18:03:27']",37967345,66708260,101423163,66640227,135.57,98.77200317382812
"[104.19557226012026, 30.65875250388583, 43, '18:03:29']",31189380,68385161,114032716,45969249,125.57,98.77200317382812
"[104.19451507740119, 30.66043656427547, 44, '18:03:30']",31189380,68385161,114032716,45969249,90.53,99.05400085449219
"[104.19364165575185, 30.661830941503034, 45, '18:03:31']",41307012,57769259,129520875,47812640,94.92,99.05400085449219
"[104.19364165575185, 30.661830941503034, 46, '18:03:32']",41307012,57769259,129520875,47812640,94.92,99.05400085449219
"[104.19651531014807, 30.657243285297156, 47, '18:03:33']",36330361,45331340,115665431,58909843,104.92,99.05400085449219
"[104.1956027299625, 30.658700177314905, 48, '18:03:35']",36330361,45331340,115665431,58909843,123.03,99.05400085449219
"[104.19626498693131, 30.657074482041907, 49, '18:03:36']",32726657,74252665,119642202,51878004,113.03,107.4219970703125
"[104.19495940923422, 30.659968093305004, 50, '18:03:37']",32726657,74252665,119642202,51878004,92.93,107.4219970703125
"[104.19413628675619, 30.661792417110913, 51, '18:03:38']",36516931,51892394,114959791,50846896,102.93,107.4219970703125
"[104.19557412406917, 30.658605672842427, 52, '18:03:39']",36516931,51892394,114959791,50846896,127.42,107.4219970703125
"[104.1958458348364, 30.65800346790424, 53, '18:03:41']",33503947,59762961,133170731,44145962,117.42,107.4219970703125
"[104.19463807458536, 30.66052100156949, 54, '18:03:42']",33503947,59762961,133170731,44145962,96.33,104.83799743652344
"[104.19924288643082, 30.651348292676232, 55, '18:03:43']",32883153,57169340,149583215,32422306,106.33,104.83799743652344
"[104.19575571413026, 30.65829468211563, 56, '18:03:44']",32883153,57169340,149583215,32422306,118.06,104.83799743652344
"[104.19586094206494, 30.658085069813403, 57, '18:03:45']",33402086,40809575,152060263,37196399,115.55,104.83799743652344
"[104.19586094206494, 30.658085069813403, 58, '18:03:47']",33402086,40809575,152060263,37196399,115.55,104.83799743652344
"[104.19719258543421, 30.655322580101448, 59, '18:03:48']",34861442,37414319,158801733,41787510,108.61,105.56600189208984
"[104.19719258543421, 30.655322580101448, 60, '18:03:49']",34861442,37414319,158801733,41787510,108.61,105.56600189208984
"[104.18922604308673, 30.67166635110287, 61, '18:03:50']",36466918,40834367,165891823,57224091,104.63,105.56600189208984
"[104.18922604308673, 30.67166635110287, 62, '18:03:51']",36466918,40834367,165891823,57224091,104.63,105.56600189208984
"[104.19562213684632, 30.65854443607989, 63, '18:03:53']",36207388,57523794,163789927,61778466,123.82,105.56600189208984
"[104.19562548716458, 30.65852481324142, 64, '18:03:54']",36207388,57523794,163789927,61778466,123.82,106.10600280761719
"[104.19560170305041, 30.658574700364106, 65, '18:03:55']",39402935,60665278,145701214,69764721,125.21,106.10600280761719
"[104.19560170305041, 30.658574700364106, 66, '18:03:56']",39402935,60665278,145701214,69764721,125.21,106.10600280761719
"[104.19592910427289, 30.657887977081003, 67, '18:03:57']",39233644,80657373,139123693,60371021,115.21,106.10600280761719
"[104.19491916227173, 30.660006328019204, 68, '18:03:59']",39233644,80657373,139123693,60371021,92.41,106.10600280761719
"[104.19516087971616, 30.65963598940654, 69, '18:04:00']",38924535,91135218,102365195,44632176,87.56,112.73799896240234
"[104.19516087971616, 30.65963598940654, 70, '18:04:01']",38924535,91135218,102365195,44632176,87.56,112.73799896240234
"[104.19518960128414, 30.6595547692119, 71, '18:04:02']",43328982,147552159,106073395,42108904,82.8,112.73799896240234
"[104.19518960128414, 30.6595547692119, 72, '18:04:03']",43328982,147552159,106073395,42108904,82.8,112.73799896240234
"[104.19519656605401, 30.659535073909552, 73, '18:04:05']",41812344,179880076,91615102,41864427,81.39,112.73799896240234
"[104.19496490291581, 30.659732715051057, 74, '18:04:06']",41812344,179880076,91615102,41864427,81.39,99.68000030517578
"[104.19495196679472, 30.65975384904325, 75, '18:04:07']",45017021,183655725,88337384,47914519,81.98,99.68000030517578
"[104.19495196679472, 30.65975384904325, 76, '18:04:08']",45017021,183655725,88337384,47914519,81.98,99.68000030517578
"[104.19497825243843, 30.659710905676796, 77, '18:04:09']",41258288,153406016,77311678,45526746,80.74,99.68000030517578
"[104.19497825243843, 30.659710905676796, 78, '18:04:11']",41258288,153406016,77311678,45526746,80.74,99.68000030517578
"[104.1951284087707, 30.65948455782216, 79, '18:04:12']",35014033,153406045,57121294,37916274,70.74,101.05999755859375
"[104.19523758262025, 30.659296769354448, 80, '18:04:13']",35014033,153406045,57121294,37916274,48.39,101.05999755859375
"[104.19523758262025, 30.659296769354448, 81, '18:04:14']",36824220,162011675,70460645,49437390,48.39,101.05999755859375
"[104.19523758262025, 30.659296769354448, 82, '18:04:15']",36824220,162011675,70460645,49437390,48.39,101.05999755859375
"[104.19518254333494, 30.659391441687568, 83, '18:04:17']",26108002,164824375,47671108,40381011,62.18,101.05999755859375
"[104.19517206111158, 30.65939519319681, 84, '18:04:18']",26108002,164824375,47671108,40381011,62.18,99.76599884033203
"[104.19498606449348, 30.659700028388038, 85, '18:04:19']",48322889,196524892,69304266,41466626,80.46,99.76599884033203
"[104.19498606449348, 30.659700028388038, 86, '18:04:20']",48322889,196524892,69304266,41466626,80.46,99.76599884033203
"[104.19502096294497, 30.65964283231512, 87, '18:04:21']",48113071,167240304,62447383,37429523,78.45,99.76599884033203
"[104.19502096294497, 30.65964283231512, 88, '18:04:23']",48113071,167240304,62447383,37429523,78.45,99.76599884033203
"[104.19498398467928, 30.659736913118955, 89, '18:04:24']",42428999,127664977,70681781,36591995,82.65,101.22599792480469
"[104.19498398467928, 30.659736913118955, 90, '18:04:25']",42428999,127664977,70681781,36591995,82.65,101.22599792480469
"[104.19499583256575, 30.65971640570686, 91, '18:04:26']",41886267,105265055,50264893,31306126,82.03,101.22599792480469
"[104.19499583256575, 30.65971640570686, 92, '18:04:27']",41886267,105265055,50264893,31306126,82.03,101.22599792480469
"[104.19487908553714, 30.659918482206404, 93, '18:04:29']",33570729,72717577,64273485,31193072,86.81,101.22599792480469
"[104.19507438201128, 30.65971627765337, 94, '18:04:30']",33570729,72717577,64273485,31193072,86.81,107.53800201416016
"[104.19508251420243, 30.659698164633824, 95, '18:04:31']",27499079,46220153,38905750,25577814,86.16,107.53800201416016
"[104.19508251420243, 30.659698164633824, 96, '18:04:32']",27499079,46220153,38905750,25577814,86.16,107.53800201416016
"[104.19505944840768, 30.659749539617962, 97, '18:04:33']",29239941,57813035,60044501,32613790,87.91,107.53800201416016
"[104.19505944840768, 30.659749539617962, 98, '18:04:35']",29239941,57813035,60044501,32613790,87.91,107.53800201416016
"[104.19512656747918, 30.659702431645123, 99, '18:04:36']",28188985,38117124,38143217,25009989,89.66,111.71399688720703
"[104.19512656747918, 30.659702431645123, 100, '18:04:37']",28188985,38117124,38143217,25009989,89.66,111.71399688720703
"[104.1951090208668, 30.65974962698133, 101, '18:04:38']",36986076,45193917,48777591,28200818,91.36,111.71399688720703
"[104.1951090208668, 30.65974962698133, 102, '18:04:39']",36986076,45193917,48777591,28200818,91.36,111.71399688720703
"[104.19518533472495, 30.659544364671113, 103, '18:04:41']",47781115,36063166,44611065,27150268,81.36,111.71399688720703
"[104.19528911821521, 30.659235196581513, 104, '18:04:42']",47781115,36063166,44611065,27150268,34.67,107.02999877929688
"[104.19529749109691, 30.659216944782465, 105, '18:04:43']",61748809,36602299,36611616,27342235,29.94,107.02999877929688
"[104.19529749109691, 30.659216944782465, 106, '18:04:44']",61748809,36602299,36611616,27342235,29.94,107.02999877929688
"[104.1953024793159, 30.659206071110304, 107, '18:04:45']",62185171,34636980,52781846,25868246,27.03,107.02999877929688
"[104.1953024793159, 30.659206071110304, 108, '18:04:47']",62185171,34636980,52781846,25868246,27.03,107.02999877929688
"[104.19528278939416, 30.659237558354036, 109, '18:04:48']",53582493,39403475,37059510,29763068,35.5,104.99400329589844
"[104.19528278939416, 30.659237558354036, 110, '18:04:49']",53582493,39403475,37059510,29763068,35.5,104.99400329589844
"[104.19529546392778, 30.65921215190398, 111, '18:04:50']",62956341,42589528,48102339,30207432,28.99,104.99400329589844
"[104.19529546392778, 30.65921215190398, 112, '18:04:51']",62956341,42589528,48102339,30207432,28.99,104.99400329589844
"[104.19528445813381, 30.659234213319664, 113, '18:04:53']",54272816,46213226,38906414,27299879,34.67,104.99400329589844
"[104.19531630231592, 30.659240932337326, 114, '18:04:54']",54272816,46213226,38906414,27299879,34.67,119.69599914550781
"[104.19531894663626, 30.65922974609257, 115, '18:04:55']",60570829,40829907,42139309,28329634,31.54,119.69599914550781
"[104.19531894663626, 30.65922974609257, 116, '18:04:56']",60570829,40829907,42139309,28329634,31.54,119.69599914550781
"[104.19531630231592, 30.659240932337326, 117, '18:04:57']",57731411,43409509,39159801,26953906,34.67,119.69599914550781
"[104.19531630231592, 30.659240932337326, 118, '18:04:59']",57731411,43409509,39159801,26953906,34.67,119.69599914550781
"[104.1952691304212, 30.65923703679146, 119, '18:05:00']",60721396,45412862,40378402,32269557,35.95,99.95999908447266
"[104.1952691304212, 30.65923703679146, 120, '18:05:01']",60721396,45412862,40378402,32269557,35.95,99.95999908447266
"[104.19527114666428, 30.659233708454472, 121, '18:05:02']",58616107,41371804,43498022,27052040,35.16,99.95999908447266
"[104.19527114666428, 30.659233708454472, 122, '18:05:03']",58616107,41371804,43498022,27052040,35.16,99.95999908447266
"[104.19527238410251, 30.659231665738783, 123, '18:05:05']",60262333,45003942,43618689,28404491,34.67,99.95999908447266
"[104.19517251954719, 30.659210594646154, 124, '18:05:06']",60262333,45003942,43618689,28404491,34.67,72.05599975585938
"[104.19512616928196, 30.659237999219684, 125, '18:05:07']",55464031,37216012,26816000,29204861,39.54,72.05599975585938
"[104.19512616928196, 30.659237999219684, 126, '18:05:08']",55464031,37216012,26816000,29204861,39.54,72.05599975585938
"[104.19512498170616, 30.65923870137334, 127, '18:05:09']",55703675,36608026,24445964,27092953,39.65,72.05599975585938
"[104.19512498170616, 30.65923870137334, 128, '18:05:11']",55703675,36608026,24445964,27092953,39.65,72.05599975585938
"[104.19503528341528, 30.6592289775643, 129, '18:05:12']",56812486,37534585,25340862,27661838,39.65,63.64400100708008
