count,time,ch1,ch2,ch3,ch4,s10_matched_angle,s8_matched_angle,main_distance,slove_distance
"[104.19560273987894, 30.65894722496919, 1, '17:57:50']",123452381,170170128,593794930,79754247,114.7,73.4260025024414
"[104.19560273987894, 30.65894722496919, 2, '17:57:54']",123452381,170170128,593794930,79754247,114.7,73.4260025024414
"[104.19560273987894, 30.65894722496919, 3, '17:57:55']",114490245,161933766,592969207,83727508,114.7,73.4260025024414
"[104.19560273987894, 30.65894722496919, 4, '17:57:56']",114490245,161933766,592969207,83727508,114.7,73.4260025024414
"[104.19560582378674, 30.65894529262972, 5, '17:57:58']",110531168,138112432,591680438,82993831,114.27,73.4260025024414
"[104.19559935990944, 30.658965063301892, 6, '17:57:59']",110531168,138112432,591680438,82993831,114.27,70.97799682617188
"[104.19561164768986, 30.658958132425862, 7, '17:58:00']",106179460,115026466,594438881,84259912,112.48,70.97799682617188
"[104.19561164768986, 30.658958132425862, 8, '17:58:01']",106179460,115026466,594438881,84259912,112.48,70.97799682617188
"[104.19563472784581, 30.65894511415128, 9, '17:58:02']",101794732,93797534,584945590,86164298,109.43,70.97799682617188
"[104.19563472784581, 30.65894511415128, 10, '17:58:04']",101794732,93797534,584945590,86164298,109.43,70.97799682617188
"[104.19562860294896, 30.65895993233169, 11, '17:58:05']",103956870,91425948,590048796,89056122,109.43,69.33599853515625
"[104.19562860294896, 30.65895993233169, 12, '17:58:06']",103956870,91425948,590048796,89056122,109.43,69.33599853515625
"[104.19562457380472, 30.658962041788733, 13, '17:58:07']",103419276,83598936,566516469,82663592,109.97,69.33599853515625
"[104.19562457380472, 30.658962041788733, 14, '17:58:08']",103419276,83598936,566516469,82663592,109.97,69.33599853515625
"[104.19565011351682, 30.658948670481422, 15, '17:58:10']",110805987,82970741,572992270,96977016,106.74,69.33599853515625
"[104.1956490189773, 30.658951027556988, 16, '17:58:11']",110805987,82970741,572992270,96977016,106.74,69.09200286865234
"[104.1956331119134, 30.658959261419348, 17, '17:58:12']",100864125,79718250,556334377,86786382,108.72,69.09200286865234
"[104.1956331119134, 30.658959261419348, 18, '17:58:13']",100864125,79718250,556334377,86786382,108.72,69.09200286865234
"[104.19562373812337, 30.65896411350878, 19, '17:58:14']",98977040,85131520,567225635,85283957,109.97,69.09200286865234
